"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Phel_contig_10",5492.70960072414,7.88777505915433,0.812278424358085,9.71067902657609,2.71522169761418e-22,1.46669488050874e-19
"Phel_contig_10001",136.224412089297,1.62711085418228,0.60554676334283,2.6870110661645,0.00720945641962795,0.0431628497807983
"Phel_contig_10005",51.5511935035151,-2.84055388692658,1.01190257432436,-2.80714167450675,0.00499832535718017,0.0327169996948173
"Phel_contig_10010",8.7342056518699,2.90002034037808,0.916981049987202,3.16257390533703,0.00156381035899406,0.0134511347240385
"Phel_contig_10013",189.785994443343,-2.07740142316752,0.511661541710186,-4.06010859488087,4.90498975208228e-05,0.0008384660883959
"Phel_contig_10045",50.2388038133868,3.44639963451136,0.811006268072053,4.24953513948078,2.14214604224977e-05,0.000419631455438721
"Phel_contig_1005",3425.16142786886,-1.73403378305865,0.424918444284799,-4.08086258994309,4.48688759936643e-05,0.00077870024385149
"Phel_contig_10050",281.308679616738,-1.60255870701438,0.395195096076282,-4.05510777569227,5.01111923335878e-05,0.000851890269670993
"Phel_contig_10058",24.604598291592,2.92322146619168,1.06241904633501,2.75147690195861,0.00593272035243463,0.0373466283811074
"Phel_contig_1006",78.3048539525125,-2.14005721567799,0.529845431901718,-4.03902173506886,5.36745918665253e-05,0.000899028609658924
"Phel_contig_10064",146.509765995238,2.11489832261779,0.778497973960352,2.71663946902642,0.00659484028453235,0.0404469809900342
"Phel_contig_10065",28.4083629912895,2.50742701713276,0.671298932953447,3.73518695479089,0.000187575784198739,0.00251423695358694
"Phel_contig_10088",26.9096014065836,-3.94349759436994,0.890023834772467,-4.43077751437756,9.38939257342117e-06,0.000210017189786658
"Phel_contig_10091",35.278750858583,-2.50492104681249,0.875852882642182,-2.85997922305844,0.00423668764089368,0.0289323988169373
"Phel_contig_10092",299.826637976748,-1.7691580732177,0.437741858673581,-4.04155562956326,5.30977809962172e-05,0.000892133556753705
"Phel_contig_10095",25.9815160428041,-2.82908890518156,0.751605139654656,-3.76406274507577,0.000167174907671171,0.00230955769184846
