	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Phel_contig_12741	21.45907634	2.161017435	0.655861921	3.294927433	0.000984471	0.009403831
Phel_contig_12743	76.70288361	-1.291213658	0.491630743	-2.62638917	0.008629609	0.049603608
Phel_contig_12759	7.199559916	5.343080387	1.256253693	4.253185815	2.11E-05	0.000414348
Phel_contig_12782	50.02310107	1.761020799	0.551338932	3.194080259	0.001402771	0.012361205
Phel_contig_12784	135.4716864	2.551751481	0.770321074	3.312581683	0.000924391	0.008948621
Phel_contig_12792	34.58889597	-1.828280384	0.560722058	-3.260582242	0.001111837	0.01034157
Phel_contig_12796	41.98734406	-2.259850337	0.696394506	-3.245072033	0.001174209	0.0107596
Phel_contig_12805	80.65217223	-1.245631431	0.46519741	-2.677640509	0.007414275	0.044095853
Phel_contig_12811	15.72784132	-2.884009757	0.974681465	-2.958925413	0.003087138	0.022573196
Phel_contig_1282	209.6636357	2.795657983	0.83840897	3.334480049	0.00085459	0.008404703
Phel_contig_12824	31.21610507	3.711123106	0.87098411	4.260839046	2.04E-05	0.000404086
Phel_contig_1283	57.44427031	2.027313119	0.77177615	2.626814938	0.008618819	0.049581158
Phel_contig_12832	11.97665353	3.668147893	1.135561842	3.230249342	0.001236823	0.011181605
Phel_contig_12838	143.8204542	-2.742119358	0.51889717	-5.284514002	1.26E-07	4.95E-06
Phel_contig_12843	24.22573817	-2.215177631	0.755412498	-2.932407972	0.003363446	0.024016515
Phel_contig_12847	23.97846295	2.510303177	0.87258002	2.876874462	0.004016353	0.027743398
Phel_contig_12855	87.59269194	1.441529025	0.508885371	2.832718538	0.004615401	0.030779308
Phel_contig_12861	26.64124249	3.567570027	1.131766493	3.15221386	0.001620375	0.013871416
Phel_contig_1287	515.4291387	3.910090603	0.729067302	5.363140815	8.18E-08	3.38E-06
Phel_contig_1289	318.4982362	1.566982354	0.481124349	3.256917588	0.001126291	0.01043548
Phel_contig_129	4103.246547	1.951544494	0.622579191	3.134612467	0.001720813	0.014552486
Phel_contig_12907	4.911878147	3.754845954	1.125849635	3.335122061	0.00085262	0.00838964
Phel_contig_1291	718.3449651	3.184170081	0.686737178	4.63666477	3.54E-06	9.10E-05
Phel_contig_12911	25.83609584	1.978824335	0.620356372	3.189818665	0.001423621	0.012500753
Phel_contig_12918	79.76253827	-1.557479643	0.586785443	-2.654257464	0.007948316	0.046590697
Phel_contig_1292	775.0037468	2.216477842	0.496949995	4.460162718	8.19E-06	0.000186269
Phel_contig_12926	46.19940361	-1.634486229	0.546465828	-2.991012695	0.002780539	0.020817434
Phel_contig_1293	1455.878205	-3.209807387	0.563957974	-5.691571954	1.26E-08	6.62E-07
Phel_contig_12930	134.9399103	1.444223536	0.526102665	2.745136324	0.006048577	0.037799821
Phel_contig_12933	83.81382395	3.116780747	0.585923557	5.319432389	1.04E-07	4.20E-06
