"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"TRINITY_DN10581_c0_g1_i1" 172.460576557809 1.0501260816891 0.2425467678308 4.32958184139427 1.49392743502851e-05 0.00321801306551609
"TRINITY_DN10974_c0_g1_i1" 37.8250639137713 1.68309223109308 0.51315709919968 3.27987712479868 0.00103852307098251 0.0480438894515601
"TRINITY_DN11077_c0_g2_i1" 437.50194358617 -0.52346779904053 0.139762319884622 -3.74541435397373 0.000180096281093172 0.015634873419696
"TRINITY_DN11816_c0_g1_i1" 13.0533062341803 3.01900586680459 0.580722072434494 5.19871038162603 2.00675910602486e-07 9.88042179844956e-05
"TRINITY_DN13238_c0_g1_i1" 361.528252895787 1.65816176291808 0.492761941310637 3.36503618462851 0.000765336214271776 0.039665131766732
"TRINITY_DN13977_c0_g1_i1" 68.6993173404444 -0.488939440653761 0.150230173512102 -3.25460211636096 0.00113551329178106 0.0492270007562694
"TRINITY_DN14626_c0_g1_i1" 908.82896481126 -0.391090246993991 0.119633820378167 -3.26906092071407 0.00107905066251345 0.0486137007627792
"TRINITY_DN14730_c0_g2_i1" 71.0648917572325 1.38341244203006 0.394585460785965 3.50598939777071 0.00045491334014597 0.028269744292605
"TRINITY_DN14730_c0_g3_i1" 229.642566809912 1.60234129901147 0.306876150651887 5.2214591965119 1.7751874680572e-07 9.4125901671679e-05
"TRINITY_DN15375_c0_g1_i1" 59.7420195122694 1.51062736761215 0.385243263797078 3.92122980353488 8.80981956020477e-05 0.00995509610303139
"TRINITY_DN15518_c0_g2_i1" 120.93906458993 0.866298242985412 0.252612754062075 3.42935275062373 0.000605022628471345 0.0339058616101869
"TRINITY_DN15587_c0_g1_i1" 88.7290359493177 -0.611598989943251 0.164382337651259 -3.72058822548668 0.000198759290030979 0.0157476757032591
"TRINITY_DN15695_c0_g1_i1" 60.8357393273059 -1.06870694071115 0.262313036356594 -4.07416633025559 4.61794695743254e-05 0.00677266135693245
"TRINITY_DN16675_c0_g1_i1" 694.695874166655 -1.57590557876447 0.385571267612042 -4.08719661224895 4.36617084831653e-05 0.00654261209944474
"TRINITY_DN16779_c0_g2_i1" 106.660114820823 -1.23890370967889 0.294475123205837 -4.20715915216002 2.5860102427859e-05 0.00486833718966597
"TRINITY_DN17113_c0_g2_i1" 1127.44106945302 2.5597146813322 0.76225754578684 3.35807063567988 0.000784885534281975 0.0400756739837456
"TRINITY_DN17867_c0_g1_i1" 11.8824247541893 3.02000856047966 0.794301123040155 3.80209529217421 0.000143477518156605 0.0133647369277498
"TRINITY_DN17870_c0_g1_i1" 51.0737394200376 -1.02931648646145 0.275536092125515 -3.73568659742975 0.000187203702582939 0.015680295043047
"TRINITY_DN18069_c0_g2_i4" 770.119342413326 0.632771290611577 0.175232434167861 3.61103978048621 0.000304971874916315 0.0218396254496598
"TRINITY_DN18309_c0_g2_i1" 75.1821171953869 -1.05158309807531 0.280907342505069 -3.74352300191772 0.000181457982529477 0.015634873419696
"TRINITY_DN18334_c1_g1_i1" 644.225106915946 1.47088502841357 0.349034343908818 4.21415558119928 2.50714422893654e-05 0.00486833718966597
"TRINITY_DN18334_c1_g1_i3" 67.5453665170868 1.81302161101815 0.33672835385694 5.38422615812274 7.27569778128862e-08 6.26892310080281e-05
"TRINITY_DN18503_c0_g1_i1" 25.5312809022979 -1.16676699091385 0.338581052518508 -3.44604927604468 0.000568846622273485 0.0332293200621282
"TRINITY_DN19115_c0_g1_i1" 8.32867479724102 3.6344964694223 0.834515707625183 4.35521636826363 1.32935544240963e-05 0.00305441568817652
